,NOME,TIPO,ENDERECO,LOCAL,PONTUACAO,NUM_COMENTARIO,TEMPO_MIN_M,TEMPO_MAX_M,TEMPO_MIN,TEMPO_MAX,BAIRRO,LAT,LNG
227,China Gourmet,delivery de comida,"R. Rodrigues Júnior, 1063 - Centro, Fortaleza - CE, 60110-001",$,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.733668664394,-38.521543897435
228,"Parrileiro: Restaurante, Churrasco, Happy Hour, Parrila, Delivery em Fortaleza CE",delivery de comida,"Av. Dep. Joaquim de Figueiredo Correia, 194 - Cambeba, Fortaleza - CE, 60822-360",$$,0.0,0,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Cambeba,-3.800565997977,-38.493942971571
229,Tigela Refeições e Lanches,delivery de comida,"R. Eduardo Garcia, 13 - Aldeota, Fortaleza - CE, 60150-100",Restaurante self-service,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.73832600831,-38.498827022733
230,Pasto e Pizzas,delivery de comida,"Av. Júlio Abreu, 160 - Varjota, Fortaleza - CE, 60160-240",Restaurante,0.0,0,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Varjota,-3.736024002422,-38.488004979905
231,Delicias da Iaiá,delivery de comida,"Rua Dr. Ribamar Lobo, N° 20 - Papicu, Fortaleza - CE, 60176-145",Restaurante brasileiro,0.0,0,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Papicu,-3.743885085571,-38.467152523927
232,Vatapá Delivery,delivery de comida,"Av. José Jatahy, 1563 - Jacarecanga, Fortaleza - CE, 60010-681",Restaurante,4.6,5,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Jacarecanga,-3.740085348142,-38.543212547105
233,Menu Brands,delivery de comida,"Rua Padre Valdevino, 2520 - Aldeota, Fortaleza - CE, 60135-041",Delivery,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.743584982,-38.502678004328
234,Júnior da Picanha,delivery de comida,"Av. Nilo Gomes de Soares, 201 - Cidade 2000, Fortaleza - CE, 60190-630",$$,0.0,0,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Cidade 2000,-3.754487491098,-38.469104794073
235,Pizzaria Bem na Hora,delivery de comida,"Alameda Telma - Cidade 2000, Fortaleza - CE, 60190-290",Pizzaria,4.9,18,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000,-3.751374200802,-38.470097337137
236,Sra. Quentinha Fortaleza Self-Service E Delivery,delivery de comida,"R. Barão do Rio Branco, 2251 - Centro, Fortaleza - CE, 60011-060",Restaurante,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.737844006968,-38.531876028763
237,"Padaria Portugália: Panificadora, Confeitaria, Delivery, Cocó, Fortaleza CE",delivery de comida,"Rua Professor Otávio Lobo, 755 - Cocó, Fortaleza - CE, 60192-290",$$,0.0,0,20.0,20.0,0 days 00:20:00,0 days 00:20:00,Cocó,-3.741226344696,-38.476731366697
238,Qué do Quê Restaurante Lanches,delivery de comida,"Rua General Tertuliano Potiguara, 313 - Aldeota, Fortaleza - CE, 60135-280",Restaurante fast-food,0.0,0,25.0,25.0,0 days 00:25:00,0 days 00:25:00,Aldeota,-3.742895989559,-38.501493976685
239,Pizza To Go,delivery de comida,"R. Eduardo Garcia, 1000 - Aldeota, Fortaleza - CE, 60150-100",Pizzaria,4.4,51,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.741152008875,-38.49000599165
240,"Ordo's Burguer: Hambúrgueres, Hot Dogs, Hamburgueria, Delivery Fortaleza CE",delivery de comida,"Av. Jovita Feitosa, 279 - Parquelândia, Fortaleza - CE, 60455-410",$$,0.0,0,45.0,120.0,0 days 00:45:00,0 days 02:00:00,Parquelândia,-3.73783600225,-38.546104979956
241,"Barney's Burger Fábrica: Hamburgueria, Sobremesas, Delivery em Fortaleza CE",delivery de comida,"Vila, R. Doctor Antônio Goes, 1125 - casa 7 - Aldeota, Fortaleza - CE, 60115-120",Hamburgueria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.731227013951,-38.511196242682
242,"Two Brothers Aldeota: Pizza, Massas, Calzones, Pizzaria, Delivery, Fortaleza CE",delivery de comida,"R. Alfredo Severo, 112 - Aldeota, Fortaleza - CE, 60150-040",Pizzaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.7355870119,-38.508567967689
243,Restaurante Fogão150,delivery de comida,"R. Barão de Aracati, 150 - Meireles, Fortaleza - CE, 60115-080",$$,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.723228985315,-38.509029978192
244,"Camarada Camarão: Camarões, Peixes, Happy Hour, Restaurante, Fortaleza CE",delivery de comida,"R. Des. Lauro Nogueira, 1500 - Papicu, Fortaleza - CE, 60175-055",$$$,0.0,0,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Papicu,-3.742328615642,-38.471450178313
245,Vai Já Lanches,delivery de comida,"Rua Professor Álvaro Costa, 806 - Vicente Pinzon, Fortaleza - CE, 60182-014",Lanchonete,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon,-3.725628089789,-38.470063809633
246,Sushi-Bar e Pizzaria FV Delivery,delivery de comida,"666, Av. Dos Jangadeiros - Vicente Pinzon, Fortaleza - CE, 60175-440",Pizzaria,4.0,8,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon,-3.724315992428,-38.477558027244
247,Ôxe Galeteria e Marmitaria Delivery,delivery de comida,"R. Gonçalves Lêdo, 48 - Praia de Iracema, Fortaleza - CE, 60110-261",Restaurante,3.7,6,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Praia De Iracema,-3.724413012957,-38.513999021851
248,Bill Esfiha Delivery,delivery de comida,"Av. Aguanambi, 926 - José Bonifacio, Fortaleza - CE, 60055-402",Delivery,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio,-3.745023987137,-38.525734021573
249,Marmitas e Lanches,delivery de comida,"R. República da Armênia, 110 - Parque Manibura, Fortaleza - CE, 60821-760",Lanchonete,3.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Parque Manibura,-3.795422987917,-38.481242041328
250,Marmitaria marmitex quentinha restaurante Comidinha caseira da marcia delivery 989309177,delivery de comida,"Rua Professor Carvalho, 3084 - Altos - Joaquim Távora (Fortaleza), Fortaleza - CE, 60120-340",Restaurante brasileiro,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza),-3.751603990678,-38.51519897511
251,Brittus Pizza,delivery de comida,"R. Nogueira Acioli, 2001 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60356-581",$,0.0,0,15.0,60.0,0 days 00:15:00,0 days 01:00:00,Joaquim Távora (Fortaleza),-3.737671591219,-38.585908375022
252,Marmitaria Delivery,delivery de comida,"R. Agapito dos Santos, 465 - Centro, Fortaleza - CE, 60010-250",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.725303003437,-38.538577025076
253,Menu Alimentação Saudável,delivery de comida,"R. Norvinda Píres, 90 - Aldeota, Fortaleza - CE, 60150-280",$$,0.0,0,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Aldeota,-3.737420008396,-38.501278980869
254,Duque de Coxinhas,delivery de comida,"R. Gonçalves Lêdo, 175 - Centro, Fortaleza - CE, 60110-261",Delivery,5.0,7,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.724559345479,-38.513957229748
255,Temperô Food,delivery de comida,"Alameda Telma, 45 - Cidade 2000, Fortaleza - CE, 60190-290",Delivery,3.8,5,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000,-3.750953405511,-38.471183019546
256,Comida Saudável e Yakisoba,delivery de comida,"Av. Treze de Maio, 2118 B - Benfica, Fortaleza - CE, 60040-531",Restaurante de comida caseira,4.5,20,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica,-3.743743986703,-38.535832035605
257,Dieta Já,delivery de comida,"Centro, Fortaleza - CE, 60050-040",Delivery,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.73448,-38.5271
258,Casa da Comida,delivery de comida,"R. Sen. Pompeu, 1099 L2 - Loja 101 A 106 - Centro, Fortaleza - CE, 60025-000",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.728386998981,-38.530117002563
259,Mini Menu Fortaleza,delivery de comida,"Av. Viena Weyne, 370 - loja 10 - Cambeba, Fortaleza - CE, 60822-180",Restaurante,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cambeba,-3.80129899541,-38.49110796046
260,Naturallís Comida Saudável,delivery de comida,"Rua Josias Paulo de Sousa, 120 - Vicente Pinzon, Fortaleza - CE, 60184-110",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon,-3.728469979823,-38.471443009782
261,Restaurante Frederico Delivery,delivery de comida,"Av. Barão de Studart, 855 - Aldeota, Fortaleza - CE, 60120-000",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.732118999461,-38.505694986557
262,Coco Bambu - Dom Pastel,delivery de comida,"R. Carlos Vasconcelos, 996 - Aldeota, Fortaleza - CE, 60115-170",$$$,0.0,0,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Aldeota,-3.730497981296,-38.509991969219
263,Restaurante e Marmitaria Tô Com Fome,delivery de comida,"Av. Rogaciano Leite, 1860A - Cocó, Fortaleza - CE, 60821-070",Lanchonete,4.5,15,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cocó,-3.770716993031,-38.498101988108
264,Marmitaria Comida Caseira,delivery de comida,"R. Coronel Manuel Jesuíno - Mucuripe, Fortaleza - CE, 60175-270",Restaurante de comida caseira,4.3,18,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Mucuripe,-3.727718404835,-38.484955051493
265,Mangusta Restaurante e Pizzaria,delivery de comida,"R. da Assunção, 1195 - José Bonifacio, Fortaleza - CE, 60040-230",Restaurante,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio,-3.740484975106,-38.530565986113
266,Pizzaria & Restaurante do Mar,delivery de comida,"Av. César Cals, 1089 - Vicente Pinzon, Fortaleza - CE, 60182-035",Pizzaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon,-3.727788927436,-38.46081452541
267,Marmitaria Sabor Delivery,delivery de comida,"Odernes Figueredo, 73, Rua Doutor José Lino, 260 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-260",Delivery,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza),-3.729522359253,-38.486454826749
268,"Saladinha Top: Saladas, Congelados, Alimentação Saudável, Delivery em Fortaleza CE",delivery de comida,"R. Mário Alencar Araripe, 1080 - Lagoa Sapiranga (Coité), Fortaleza - CE, 60833-163",Saladas prontas,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Lagoa Sapiranga (Coité),-3.797089016902,-38.478293958343
269,Restaurante e Marmitaria da Flávia,delivery de comida,"Av. Dioguinho, 4360 - Vicente Pinzon, Fortaleza - CE, 60183-712",Restaurante,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon,-3.753178992194,-38.447406980417
270,Tequenhosemolhos,delivery de comida,"São João do Tauape, Fortaleza - CE, 60130-300",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,São João Do Tauape,-3.755249699464,-38.51616850985
271,We Love Pizza,delivery de comida,"Av. Pontes Vieira, 726 - Fátima, Fortaleza - CE, 60130-240",Delivery de Pizza,4.3,469,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Fátima,-3.752875986394,-38.514367993229
272,Paradaise Gourmet,delivery de comida,"Rua Dona Leopoldina, 53 - Centro, Fortaleza - CE, 60110-000",Delivery de Pizza,4.5,29,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.725677003956,-38.517800969313
273,Sabor no Prato Lanches e Marmitas,delivery de comida,"R. Santo Amaro, 68 - Vicente Pinzon, Fortaleza - CE, 60181-750",Restaurante de comida caseira,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon,-3.727690001823,-38.466345974461
274,"Carneiro do Ordones Butiquim: Restaurante, Drinks, Carnes, Delivery em Fortaleza",delivery de comida,"R. Azevedo Bolão, 570 - Parquelândia, Fortaleza - CE, 60450-675",$$,0.0,0,180.0,180.0,0 days 03:00:00,0 days 03:00:00,Parquelândia,-3.734945000026,-38.549439971591
275,Boteco da Panelada Self-service e Marmita.Temos delivery,delivery de comida,"R. Joaquim Magalhães, 140 - Loja 01 - Benfica, Fortaleza - CE, 60040-160",$$,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica,-3.737468547356,-38.535263142246
276,Sabor de Mar,delivery de comida,"Av. Desembargador Moreira, 256 - Meireles, Fortaleza - CE, 60170-000",$$,4.2,148,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Meireles,-3.729135245547,-38.496183484977
277,Empório de Fátima,delivery de comida,"Av. Deputado Oswaldo Studart, 250 - Fátima, Fortaleza - CE, 60415-040",$$,0.0,0,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Fátima,-3.753337098673,-38.527956867024
278,Delicie Do Casal 20,delivery de comida,"Av. Beira Mar - Meireles, Fortaleza - CE, 60165-120",Restaurante de comida caseira,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.724728094175,-38.50056764747
279,brotÔ congelados,delivery de comida,"R. Eduardo Salgado - Aldeota, Fortaleza - CE, 60150-140",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.734000096873,-38.508772471697
280,"NBS Burguer Parquelândia: Hambúrgueres, Hot Dog, Hamburgueria, Delivery, Fortaleza CE",delivery de comida,"Rua Professor Nogueira, 45 - Loja 01 - Parquelândia, Fortaleza - CE, 60450-520",Hamburgueria,0.0,0,30.0,90.0,0 days 00:30:00,0 days 01:30:00,Parquelândia,-3.733173987704,-38.549739037896
281,Feijoada Brasil,delivery de comida,"Av. das Adenanteras, 689a - Cidade 2000, Fortaleza - CE, 60190-560",Delivery,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000,-3.754607017038,-38.469954970512
282,Mistura Cearense,delivery de comida,"R. da Assunção, 119 - Centro, Fortaleza - CE, 60050-010",Restaurante self-service,0.0,0,30.0,30.0,0 days 00:30:00,0 days 00:30:00,Centro,-3.731175993444,-38.527510985046
283,"Barney's Burger Sul: Hamburgueria, Sobremesas, Delivery em Fortaleza CE",delivery de comida,"R. Lourival Correia Pinho, 147 - Parque Manibura, Fortaleza - CE, 60821-720",$$$,0.0,0,20.0,90.0,0 days 00:20:00,0 days 01:30:00,Parque Manibura,-3.793161005617,-38.480925959759
284,Bambolê Lanches,delivery de comida,"Rua do Rosário, 68 - Centro, Fortaleza - CE, 60055-090",Lanchonete,4.1,18,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.728288388128,-38.5262855954
285,Take a Juice - Varjota,delivery de comida,"Av. Júlio Abreu, 160 - Loja 13 - Varjota, Fortaleza - CE, 60160-240",$$,4.6,122,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Varjota,-3.736024002422,-38.488004979905
286,Disk marmitaria,delivery de comida,"R. Novo Farol, 174 - Vicente Pinzon, Fortaleza - CE, 60181-005",Restaurante familiar,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Vicente Pinzon,-3.725629981479,-38.472738013823
287,Delicious Pizzaria,delivery de comida,"Alameda Das Miosótes, 405 - Cidade 2000, Fortaleza - CE, 60190-490",Delivery de Pizza,4.6,44,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000,-3.753823507895,-38.469103446315
288,FRM Marmitex Delivery,delivery de comida,"R. Carlos Gomes, 619 - José Bonifacio, Fortaleza - CE, 60025-101",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio,-3.739998832884,-38.531510391878
289,Baiano Lanches e Comida,delivery de comida,"R. Barão de Aratanha, 80 - Lj 03 - Centro, Fortaleza - CE, 60050-070",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.733515005435,-38.526516975149
290,Carlos Lanches,delivery de comida,"R. Antônio Pompeu, 586 - Centro, Fortaleza - CE, 60040-000",Lanchonete,0.0,0,30.0,30.0,0 days 00:30:00,0 days 00:30:00,Centro,-3.735322018031,-38.52904202348
291,Dunada Burger,delivery de comida,"M dias branco - R. dos Cajueiros, 1421 - Fortaleza, CE, 60190-620",Hamburgueria,5.0,21,0.0,0.0,0 days 00:00:00,0 days 00:00:00,620,-3.75608198054,-38.469564960557
292,DOM CARIOCA'S,delivery de comida,"Av Dioguinho Praia do Futuro ll, Fortaleza - CE, 60371-809",Pizzaria,3.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Av Dioguinho Praia Do Futuro Ll,-3.736811084783,-38.456047672738
293,"Butcher's 746: Steakhouse, Carnes Nobres, Churrasco, Delivery, Restaurante, Fortaleza CE",delivery de comida,"R. Maria Tomásia, 746 - Aldeota, Fortaleza - CE, 60150-170",$$$,0.0,0,120.0,120.0,0 days 02:00:00,0 days 02:00:00,Aldeota,-3.736063020181,-38.495350963667
294,"Zé, comida na rua",delivery de comida,"Av. Almirante Barroso, 877 - loja 3 - Praia de Iracema, Fortaleza - CE, 60060-440",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Praia De Iracema,-3.720145995598,-38.515386981198
295,Creuza Burguer,delivery de comida,"Alameda Ana Elisa, 34B - Cidade 2000, Fortaleza - CE, 60190-130",$,0.0,0,25.0,25.0,0 days 00:25:00,0 days 00:25:00,Cidade 2000,-3.749162007006,-38.471057023141
296,Frigideira do Jonny Self Service,delivery de comida,"R. Joaquim Nabuco, 1900 - Aldeota, Fortaleza - CE, 60125-055",$$,4.6,2259,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Aldeota,-3.742342993497,-38.503571012292
297,Cozinha Mágica,delivery de comida,"Av. Santos Dumont, 3130 - Aldeota, Fortaleza - CE, 60150-161",Restaurante self-service,0.0,0,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Aldeota,-3.7367919943,-38.497113007352
298,Delicias de Horler,delivery de comida,"Rua Solon Pinheiro, 218 - Centro, Fortaleza - CE, 60050-040",Restaurante,5.0,9,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.732533987487,-38.527046040877
299,"Estela Pizza: Pizza Americana, Pizza Doce, Delivery, Pizzaria, Fortaleza CE",delivery de comida,"Vila, R. Doctor Antônio Goes, 1125 - Aldeota, Fortaleza - CE, 60115-120",Pizzaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.731304071418,-38.511147700261
300,Donadel Food Truck,delivery de comida,"Av. Desembargador Moreira, 2355 - Aldeota, Fortaleza - CE, 60170-173",Restaurante fast-food,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.746745001407,-38.501672008308
301,Bom Pasto,delivery de comida,"R. Rocha Lima, 166 - Centro, Fortaleza - CE, 60135-000",Restaurante self-service,0.0,0,30.0,30.0,0 days 00:30:00,0 days 00:30:00,Centro,-3.73632197908,-38.522571026591
302,Kêla Pasta,delivery de comida,"Alameda das Tulipas, 408 - Cidade 2000, Fortaleza - CE, 60190-350",Restaurante,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000,-3.752476001974,-38.468614033642
303,Popizza,delivery de comida,"nao rola - Aldeota, Fortaleza - CE, 60110-301",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.73357,-38.515
304,Aioli - Delivery de Delícias,delivery de comida,"R. Ildefonso Albano, 870 - Meireles, Fortaleza - CE, 60115-000",Restaurante,4.5,8,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.72838800481,-38.511658040114
305,Marmitaria e Pizzaria Ernane,delivery de comida,"R. Pedro Balbino, 170 - Manuel Dias Branco, Fortaleza - CE, 60191-680",Pizzaria,4.5,19,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Manuel Dias Branco,-3.757865984811,-38.468700031968
306,Comida caseira sabor do goias,delivery de comida,"Av. Almirante Barroso, 980 - Iracema, Fortaleza - CE, 60060-440",Restaurante,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Iracema,-3.720040006433,-38.514246036538
307,Pizzaria Doro,delivery de comida,"R. Pereira Filgueiras, 564 - Centro, Fortaleza - CE, 60160-150",$,0.0,0,15.0,15.0,0 days 00:15:00,0 days 00:15:00,Centro,-3.726786013565,-38.51767398348
308,Coco Bambu Beira Mar,delivery de comida,"Av. Beira Mar, 3698 - Beira Mar, Fortaleza - CE, 60165-121",$$$,4.6,18708,150.0,150.0,0 days 02:30:00,0 days 02:30:00,Beira Mar,-3.724596995732,-38.487804987695
309,Restaurante da Zena,delivery de comida,"R. Meton de Alencar, 549 - Centro, Fortaleza - CE, 60035-160",$$,0.0,0,25.0,60.0,0 days 00:25:00,0 days 01:00:00,Centro,-3.734272980939,-38.528911014334
310,Madruga Varjota,delivery de comida,"R. Coronel Manuel Jesuíno, 652 - Varjota, Fortaleza - CE, 60175-270",Restaurante self-service,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Varjota,-3.731267984831,-38.485155971015
311,Dom Tiziano,delivery de comida,"R. Floriano Peixoto, 799 - Centro, Fortaleza - CE, 60025-131",Restaurante self-service,0.0,0,30.0,30.0,0 days 00:30:00,0 days 00:30:00,Centro,-3.729418014982,-38.527864030808
312,Larica Pizzaria,delivery de comida,"Av. Nila Gomes de Soárez, 403 - Cidade 2000, Fortaleza - CE, 60190-630",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000,-3.752123727787,-38.468127792795
313,Italian Pizza Fortaleza,delivery de comida,"Av. Antônio Sales, 1357 - quiosque 02 - Joaquim Távora (Fortaleza), Fortaleza - CE, 60135-101",Delivery de Pizza,5.0,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Joaquim Távora (Fortaleza),-3.742349992386,-38.512136982061
314,Fisgo - Delivery de Pescados,delivery de comida,"Av. Antônio Justa, 2380 - Meireles, Fortaleza - CE, 60165-090",Delivery,1.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Meireles,-3.73160401533,-38.482798979842
315,Restaurante Família e Lanchonete,delivery de comida,"Av. Desembargador Gonzaga, 144 - Cidade dos Funcionários, Fortaleza - CE, 60824-062",Lanchonete,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade Dos Funcionários,-3.788133753355,-38.504177416619
316,Caldos & Sopas da Jane,delivery de comida,"Travessa São João, 6 - Mucuripe, Fortaleza - CE, 60175-510",Delivery,5.0,4,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Mucuripe,-3.75908668664,-38.528033384573
317,Restaurante Gramado Self-Service,delivery de comida,"R. Pedro Borges, 33 - Loja 21 - Centro, Fortaleza - CE, 60055-110",Restaurante self-service,0.0,0,30.0,60.0,0 days 00:30:00,0 days 01:00:00,Centro,-3.72809361114,-38.527797644792
318,Beef's - Sanduíche de Churrasco,delivery de comida,"Av. Desembargador Moreira, 2355 - Dionísio Torres, Fortaleza - CE, 60170-002",Restaurante,4.3,12,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Dionísio Torres,-3.746745001407,-38.501672008308
319,Donastela Massas e Recheios,delivery de comida,"R. Major Facundo, 897 - Centro, Fortaleza - CE, 60025-100",Restaurante italiano,3.7,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.730799841498,-38.528837340988
320,Rai Lanches,delivery de comida,"R. Pedro Borges, 33 - Centro, Fortaleza - CE, 60055-120",Restaurante fast-food,3.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.72809361114,-38.527797644792
321,"Livremente Padaria Sem Glúten, Sem Lactose: Pão, Bolo, Delivery, Fortaleza CE",delivery de comida,"R. Amarílio Cartaxo, 169 - De Lourdes, Fortaleza - CE, 60177-030",Padaria,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,De Lourdes,-3.736543183634,-38.463941337311
322,Juliana's Grill Self-Service,delivery de comida,"R. Barão do Rio Branco, 1396 - Centro, Fortaleza - CE, 60025-060",Restaurante self-service,0.0,0,25.0,60.0,0 days 00:25:00,0 days 01:00:00,Centro,-3.730500998781,-38.529511996791
323,Irene comida saudável,delivery de comida,"Alameda das cravinas, 121 Cidade 2000 Papicu - Cidade 2000, Fortaleza - CE, 60190-320",,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cidade 2000,-3.750580979395,-38.474150029232
324,Delivery DiFábios,delivery de comida,"R. Carlos Gomes, 199 - José Bonifacio, Fortaleza - CE, 60040-230",Delivery de Pizza,5.0,1,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio,-3.741240982777,-38.527807033867
325,De Babo Restaurante,delivery de comida,"Rua do Rosário, 86 - Centro, Fortaleza - CE, 60135-050",Restaurante,4.6,172,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.728323062101,-38.526283089979
326,Fino Sabor,delivery de comida,"R. J da Penha, 421 - Centro, Fortaleza - CE, 60110-120",$$,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Centro,-3.734580010052,-38.519543986078
327,Q do Q Self Service Salgados e Lanches,delivery de comida,"Rua General Tertuliano Potiguara, 297 - Aldeota, Fortaleza - CE, 60135-280",Restaurante self-service,3.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Aldeota,-3.742511337296,-38.502247475021
328,Sal e Açucar,delivery de comida,"Avenida Imperador, 1473 - Farias Brito, Fortaleza - CE, 60015-052",Delivery,5.0,2,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Farias Brito,-3.734137990388,-38.53644098087
329,Porquilo Self-Service,delivery de comida,"R. Barão do Rio Branco, 1221 - Centro, Fortaleza - CE, 60025-061",$$,0.0,0,45.0,45.0,0 days 00:45:00,0 days 00:45:00,Centro,-3.729144060135,-38.529068237262
330,Pizza Prime,delivery de comida,"R. Barão de Aratanha, 873 - José Bonifacio, Fortaleza - CE, 60050-071",Delivery de Pizza,4.0,141,0.0,0.0,0 days 00:00:00,0 days 00:00:00,José Bonifacio,-3.740538998386,-38.528938004062
331,Republic Pizzaria Delivery,delivery de comida,"R. Waldery Uchôa, 188 - Benfica, Fortaleza - CE, 60020-110",Delivery de Pizza,4.4,54,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Benfica,-3.743627981163,-38.538560009812
332,Jotacê Carnes & Grill - Cocó,delivery de comida,"Alameda das Angélicas, 340 A - Cocó, Fortaleza - CE, 60192-085",Açougue,0.0,0,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Cocó,-3.748616009834,-38.471542000059
333,Salty salgados,delivery de comida,"R. dos Cajueiros, 1409 - Manuel Dias Branco, Fortaleza - CE, 60190-620",Lanchonete,3.7,3,0.0,0.0,0 days 00:00:00,0 days 00:00:00,Manuel Dias Branco,-3.756898108391,-38.469742189445
